"attage","sex","smoker","exposure","actual_dths","expected_dths","actual_mort","expected_mort"
76,"F","S",384.1991,13,13.34121,0.0338366227302459,0.0347247299642295
76,"F","U",1421.6242,29,33.20154,0.020399202545933,0.0233546530792034
76,"M","N",2140.0672,22,60.05312,0.0102800510189587,0.0280613244294385
76,"M","S",719.6233,25,33.84856,0.0347403982055612,0.0470364981233932
76,"M","U",3194.0657,86,112.30312,0.0269249314439587,0.0351599279877054
76,"U","N",68.986,1,1.57354,0.0144956947786507,0.0228095555619981
76,"U","S",21.5926,0,0.99256,0,0.0459676000111149
76,"U","U",81.4138,2,2.82175,0.0245658598419433,0.0346593575045017
77,"F","N",1146.4919,15,22.89467,0.0130833894247312,0.0199693255573807
77,"F","S",350.8225,4,13.73082,0.0114017772520292,0.0391389377819268
77,"F","U",1495.7418,25,38.7933,0.0167141146954642,0.025935826624622
77,"M","N",2121.2706,47,66.16445,0.0221565320332069,0.031190952252862
77,"M","S",728.2078,25,37.40129,0.0343308599550842,0.0513607379651797
77,"M","U",3289.7001,109,127.08703,0.0331337193928407,0.0386317980778856
77,"U","N",47.6074,1,1.2893,0.0210051378567198,0.0270819242386688
77,"U","S",17.2108,0,0.82139,0,0.0477252655309457
77,"U","U",101.5205,3,3.52827,0.0295506818819844,0.0347542614545831
78,"F","N",1035.2929,13,23.41424,0.012556832950366,0.0226160538722906
78,"F","S",369.8084,14,15.3495,0.0378574418536734,0.0415066288380686
78,"F","U",1473.1787,43,41.73153,0.029188583842544,0.0283275409833172
78,"M","N",1875.5699,47,64.75471,0.0250590500519335,0.0345253514678392
78,"M","S",784.7526,35,44.38532,0.0446000433767279,0.0565596342082842
78,"M","U",3418.6786,104,148.21631,0.0304211106595396,0.0433548535390253
78,"U","N",42.6704,1,1.19733,0.0234354493981777,0.0280599666279201
78,"U","S",19.075,0,0.95673,0,0.0501562254259502
78,"U","U",84.3053,3,3.45496,0.0355849513613023,0.0409815278517483
79,"F","N",983.24,17,24.44026,0.0172897766567674,0.0248568609901957
79,"F","S",336.3375,12,15.48876,0.0356784479875125,0.0460512431709221
79,"F","U",1539.7943,46,47.39581,0.0298741201990422,0.0307806114102384
79,"M","N",1732.1083,51,66.76279,0.0294438863897829,0.0385442353691164
79,"M","S",699.2109,42,42.63331,0.0600677134752905,0.0609734630853152
79,"M","U",3398.2468,119,162.21748,0.0350180569580761,0.0477356382708872
79,"U","N",59.4826,3,2.10629,0.0504349171018079,0.035410187180789
79,"U","S",17.0355,0,0.78166,0,0.0458841830295559
79,"U","U",115.7693,4,4.79222,0.0345514743546001,0.0413945666079004
80,"F","N",934.7897,16,25.47302,0.0171161492258633,0.0272500007220875
80,"F","S",295.3402,12,14.14286,0.0406311094798473,0.0478866744181794
80,"F","U",1550.4836,38,52.44495,0.0245084823857537,0.0338248982446509
80,"M","N",1616.9106,47,69.95521,0.0290677790101691,0.0432647358487229
80,"M","S",770.9552,31,50.59998,0.0402098591461605,0.0656328409225335
80,"M","U",3162.3663,149,167.42717,0.0471166164400373,0.0529436359096035
80,"U","N",49.2695,1,1.88428,0.0202965323374501,0.0382443499528106
80,"U","S",15.6769,0,0.92398,0,0.058938948389031
80,"U","U",91.7006,2,4.3041,0.0218101081127059,0.0469364431639488
81,"F","N",828.95,15,24.98915,0.0180951806502202,0.0301455455696966
81,"F","S",302.0185,18,16.27618,0.0595989980746213,0.0538913344712327
81,"F","U",1557.9442,54,58.68583,0.034661061673454,0.0376687624627378
81,"M","N",1483.5569,48,72.80652,0.0323546740944011,0.0490756505530728
81,"M","S",755.4229,38,54.92459,0.0503029495134447,0.0727070757320171
81,"M","U",3275.053,156,191.93998,0.0476328169345656,0.0586066790369499
81,"U","N",50.4933,1,2.01028,0.0198046077400368,0.0398128068476412
81,"U","S",25.535,1,1.87505,0.0391619345995692,0.0734305854709223
81,"U","U",72.0873,2,3.7993,0.0277441380104401,0.0527041517715326
82,"F","N",837.5939,20,28.09858,0.0238779198368087,0.0335467820384079
82,"F","S",300.3632,17,17.84882,0.0565981451789034,0.0594241238607126
82,"F","U",1327.0298,54,55.47597,0.0406923793271259,0.0418046150885233
82,"M","N",1357.4202,53,74.32267,0.0390446524959626,0.0547528834475868
82,"M","S",641.0458,34,52.2445,0.0530383320505337,0.0814988570239443
82,"M","U",3171.707,162,204.61564,0.0510765969239908,0.064512781287805
82,"U","N",34.68,2,1.6215,0.0576701268742791,0.0467560553633218
82,"U","S",25.431,0,2.01462,0,0.0792190633478825
82,"U","U",116.6385,5,6.83908,0.0428674922945683,0.0586348418403872
83,"F","N",761.6293,20,28.50098,0.0262594939559179,0.0374210656023869
83,"F","S",283.8167,16,17.68723,0.0563744134858872,0.0623192010899993
83,"F","U",1460.5928,63,66.28068,0.0431331716820732,0.0453793007880088
83,"M","N",1140.8344,44,69.41293,0.0385682619668551,0.0608440015483404
83,"M","S",717.2597,37,63.48235,0.0515852208063551,0.088506784920441
83,"M","U",3123.247,157,222.39143,0.0502681984486017,0.0712052008694797
83,"U","N",36.059,2,1.95042,0.0554646551485066,0.0540896863473751
83,"U","S",16.0157,1,1.16269,0.0624387319942307,0.0725968893023721
83,"U","U",85.9095,3,5.5748,0.0349204686326891,0.064891542844505
84,"F","N",661.2237,23,27.34902,0.0347839921648301,0.0413612216259036
84,"F","S",273.5946,14,18.93955,0.0511706005893391,0.0692248677422727
84,"F","U",1291.0866,64,65.7337,0.0495706484754779,0.0509134708701957
84,"M","N",1035.6517,51,69.35286,0.0492443550278535,0.0669654286281768
84,"M","S",583.78,34,55.91133,0.05824111822947,0.0957746582616739
84,"M","U",2980.1379,185,233.17637,0.0620776642584224,0.078243483296528
84,"U","N",21.466,0,1.18933,0,0.0554052920898165
84,"U","S",22.5795,1,1.97936,0.0442879603179876,0.0876618171350119
84,"U","U",93.7511,8,6.44023,0.0853323321006367,0.0686949806455604
85,"F","N",586.4175,27,26.56832,0.0460422821624525,0.0453061513341604
85,"F","S",258.4936,17,18.96878,0.0657656514513319,0.0733820102315879
85,"F","U",1180.761,67,64.67786,0.0567430665477603,0.0547764196141302
85,"M","N",891.6738,48,65.46394,0.0538313450501742,0.0734169154684146
85,"M","S",612.9244,42,63.72218,0.0685239484673803,0.103964175679741
85,"M","U",2634.7849,179,227.18492,0.0679372346486425,0.0862252246853244
85,"U","N",24.5805,0,1.35747,0,0.0552254836150607
85,"U","S",13.6809,0,1.18583,0,0.0866777770468317
85,"U","U",82.8082,2,6.65158,0.0241521974876884,0.0803251368825793
86,"F","N",541.9329,21,26.8668,0.0387501847553452,0.0495758792278527
86,"F","S",237.8849,15,19.39207,0.0630557046706201,0.0815187092581328
86,"F","U",1370.0969,81,82.92844,0.0591199060446017,0.0605274269287085
